,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Salam,Salam Piliç 1000 Gr,Markasız,"0104-salam, 01-etli Mamuller, 010403-salam Piliç",bim,Çifte Minareseyhanadana,69.0,"69,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Salam Hindi Füme 2x50g Polonez,Polonez,"Salam, Salam Hindi, Et Ve Etli̇ Mamüller",a101,Ziyapaşa Seyhan Adana,25.5,"255,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Polonez Fıstıklı Salam 90 gr,Polonez,"Dana, Et Şarküteri, Gıda, Salam, Self Servıs, Paket Salam, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",migros,Yeni Vilayet M Migros,129.9,"1.443,33 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Salam Piliç 250 gr Keskinoğlu,Keskinoğlu,"Salam, Salam Piliç, Et Ve Etli̇ Mamüller",a101,Cebesoy Seyhan Adana,25.5,"102,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Polonez Macar Salam 90 gr,Polonez,"Dana, Et Şarküteri, Paket Salam, Et Şarküteri Paket",migros,Mjet Ziyapaşa Adana,129.9,"1.443,33 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Polonez Hindi Salam 90 gr,Polonez,"Et Şarküteri, Paket Salam, Hindi, Et Şarküteri Paket",migros,Cemalpaşa M Migros,62.9,"698,89 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Carrefour Hindi Salam 50 gr,Carrefour,"Gıda, Salam, Self Servıs, Paketli̇ Et Ürünleri̇",carrefour,Adana Türkmenbaşı Süper,15.95,"319,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Salam Piliç Dilimli 150 gr,Markasız,"0104-salam, 01-etli Mamuller, 010403-salam Piliç",bim,Çifte Minareseyhanadana,27.5,"183,33 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Salam Piliç 900 Gr Tombik,Tombik,"0104-salam, 01-etli Mamuller, 010403-salam Piliç",bim,Çifte Minareseyhanadana,79.5,"88,33 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Aytaç Hindi Salam 500 gr,Aytaç,"Gıda, Salam, 0104-salam, Self Servıs, 01-etli Mamuller, 010402-salam Hindi, Paketli̇ Et Ürünleri̇",bim,Çifte Minareseyhanadana,75.0,"150,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Dana Macar Salam 2x50 Gr Namet,Markasız,"170123-salam Dana, 1701-etli̇ Mamuller, 17-grup Spot",bim,Çifte Minareseyhanadana,39.5,"19,75 ₺/adet",24.06.2025 10:19,0,ADANA
Salam,Açık Büfe Hindi Salam 900 Gr,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170124-salam Hindi",bim,Çifte Minareseyhanadana,99.0,"110,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Keskinoğlu Piliç Büfe Salam 850 Gr,Keskinoğlu,"Salam, Et şarküteri, Paket Salam, Piliç, Salam Piliç, Et Ve Etli̇ Mamüller, Et Şarküteri Paket",a101,Cebesoy Seyhan Adana,76.5,"90,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Açık Büfe Hindi Salam 50 Gr,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170124-salam Hindi",bim,Çifte Minareseyhanadana,9.75,"195,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Salam Hindi Füme 110 gr Namet,Namet,"Salam, Salam Hindi, Et Ve Etli̇ Mamüller",a101,Cebesoy Seyhan Adana,45.25,"411,36 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Salam Piliç Büfe 1000 gr Aspiliç,Aspiliç,"Salam, Salam Piliç, Et Ve Etli̇ Mamüller",a101,Cebesoy Seyhan Adana,69.0,"69,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Pınar Keyifle Hindi Salam 500 gr,Pınar,"Hindi Sal, Işlenmiş Etler, Et şarküteri, Paket Salam, Hindi, Hindi Salamlar, Et Şarküteri Paket",sok,Adana Seyhan Kurtuluş,75.0,"150,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Müslümoğlu Dana Macar Salam 250 gr,Müslümoğlu,"Dana, Et şarküteri, Paket Salam, Et Şarküteri Paket",sok,Adana Seyhan Sular,109.0,"436,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Polonez Hindi Fıstıklı Salam 90 gr,Polonez,"Et Şarküteri, Gıda, Salam, Self Servıs, Paket Salam, Hindi, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",migros,Yeni Vilayet M Migros,62.9,"698,89 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Dana Macar Salam 50 Gr Maret,Maret,"170123-salam Dana, Dana, 1701-etli̇ Mamuller, Et Şarküteri, Gıda, Salam, Self Servıs, 17-grup Spot, Paket Salam, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",bim,Çifte Minareseyhanadana,19.5,"390,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Dana Macar Salam 50 Gr Maret,Maret,"170123-salam Dana, Dana, 1701-etli̇ Mamuller, Et Şarküteri, Gıda, Salam, Self Servıs, 17-grup Spot, Paket Salam, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",migros,Adana Sular M Mıgros,47.9,"958,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Polonez Dana Macar Salam 50 gr,Polonez,"Dana, Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",migros,Adana Sular M Mıgros,59.9,"1.198,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Polonez Dana Macar Salam 50 gr,Polonez,"Dana, Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",carrefour,Adana Türkmenbaşı Süper,73.9,"1.478,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Salam Piliç Dilimli 60 gr Lezita,Lezita,"Salam, Et şarküteri, Paket Salam, Piliç, Salam Piliç, Et Ve Etli̇ Mamüller, Et Şarküteri Paket",sok,Adana Seyhan Kurtuluş,15.5,"258,33 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Müslümoğlu Dana Macar Salam 60 gr,Müslümoğlu,"Dana, Et şarküteri, Paket Salam, Et Şarküteri Paket",sok,Adana Gazipaşa Mağaza,29.75,"495,83 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Pınar Aç Bitir Salam 75 gr,Pınar,"Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Hindi, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",carrefour,Adana Türkmenbaşı Süper,35.25,"470,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Pınar Aç Bitir Salam 75 gr,Pınar,"Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Hindi, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",migros,Yeni Vilayet M Migros,35.25,"470,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Pınar Kahvaltılık Macar Salam 250 g,Pınar,"Dana, Et Şarküteri, Paket Salam, Et Şarküteri Paket",migros,Yeni Vilayet M Migros,265.0,"1.060,00 ₺/kg",24.06.2025 10:19,0,ADANA
Salam,Polonez Macar Salam,Polonez,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Ankara Hoşdere Süper Süper,1049.93,"1.049,93 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Başyazıcı Macar Salam,Başyazıcı,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Ankara Hoşdere Süper Süper,929.9,"929,90 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Namet Fıstıklı Macar Salam,Namet,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Ankara Hoşdere Süper Süper,1119.9,"1.119,90 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Salam Piliç 1000 Gr,Markasız,"0104-salam, 01-etli Mamuller, 010403-salam Piliç",bim,Konurçankaya,69.0,"69,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Lezita Piliç Salam 850 Gr,Lezita,"Salam, Et şarküteri, Paket Salam, Piliç, Salam Piliç, Et Ve Etli̇ Mamüller, Et Şarküteri Paket",a101,Yeni Kızılay Çankaya Ankara,76.5,"90,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Salam Hindi Füme 2x50g Polonez,Polonez,"Salam, Salam Hindi, Et Ve Etli̇ Mamüller",a101,Mithatpaşa Çankaya Ankara,25.5,"255,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Salam Piliç 250 gr Erpiliç,Erpiliç,"Salam, Salam Piliç, Et Ve Etli̇ Mamüller",a101,Yeni Kızılay Çankaya Ankara,25.5,"102,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Carrefour Hindi Salam 50 gr,Carrefour,"Gıda, Salam, Self Servıs, Paketli̇ Et Ürünleri̇",carrefour,Ankara Çankaya Esat Cad,15.95,"319,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Salam Piliç Dilimli 150 gr,Markasız,"0104-salam, 01-etli Mamuller, 010403-salam Piliç",bim,Konurçankaya,27.5,"183,33 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Salam Piliç 900 Gr Tombik,Tombik,"0104-salam, 01-etli Mamuller, 010403-salam Piliç",bim,Konurçankaya,79.5,"88,33 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Aytaç Hindi Salam 500 gr,Aytaç,"Gıda, Salam, 0104-salam, Self Servıs, 01-etli Mamuller, 010402-salam Hindi, Paketli̇ Et Ürünleri̇",bim,Konurçankaya,75.0,"150,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Dana Macar Salam 2x50 Gr Namet,Markasız,"170123-salam Dana, 1701-etli̇ Mamuller, 17-grup Spot",bim,Konurçankaya,39.5,"19,75 ₺/adet",24.06.2025 10:19,0,ANKARA
Salam,Salam Piliç Füme 60 gr Polonez,Polonez,"Salam, Salam Piliç, Et Ve Etli̇ Mamüller",a101,Yeni Kızılay Çankaya Ankara,19.5,"325,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Salam Piliç Büfe 800 gr Lezita,Lezita,"Salam, Salam Piliç, Et Ve Etli̇ Mamüller",a101,Mine Çankaya Çankaya Ankara,72.0,"90,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Açık Büfe Hindi Salam 900 Gr,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170124-salam Hindi",bim,Konurçankaya,99.0,"110,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Keskinoğlu Piliç Büfe Salam 850 Gr,Keskinoğlu,"Salam, Et şarküteri, Paket Salam, Piliç, Salam Piliç, Et Ve Etli̇ Mamüller, Et Şarküteri Paket",sok,Çankaya Merkez,59.9,"70,47 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Açık Büfe Hindi Salam 50 Gr,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170124-salam Hindi",bim,Konurçankaya,9.75,"195,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Salam Hindi Füme 110 gr Namet,Namet,"Salam, Salam Hindi, Et Ve Etli̇ Mamüller",a101,Sakarya Caddesi Çankaya Ankara,45.25,"411,36 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Salam Piliç Büfe 1000 gr Aspiliç,Aspiliç,"Salam, Salam Piliç, Et Ve Etli̇ Mamüller",a101,Sakarya Caddesi Çankaya Ankara,69.0,"69,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Sultan Dana Macar Salam 60 gr,Sultan,"Dana, Et şarküteri, Paket Salam, Et Şarküteri Paket",sok,Çankaya Izmir Cadde,29.75,"495,83 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Pınar Keyifle Hindi Salam 500 gr,Pınar,"Hindi Sal, Işlenmiş Etler, Et şarküteri, Paket Salam, Hindi, Hindi Salamlar, Et Şarküteri Paket",sok,Çankaya Merkez,75.0,"150,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Polonez Hindi Fıstıklı Salam 90 gr,Polonez,"Et Şarküteri, Gıda, Salam, Self Servıs, Paket Salam, Hindi, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",migros,Ankara Kolej M Mıgros,62.9,"698,89 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Dana Macar Salam 50 Gr Maret,Maret,"170123-salam Dana, Dana, 1701-etli̇ Mamuller, Et Şarküteri, Gıda, Salam, Self Servıs, 17-grup Spot, Paket Salam, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",bim,Konurçankaya,19.5,"390,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Polonez Dana Macar Salam 50 gr,Polonez,"Dana, Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",migros,Ankara Kolej M Mıgros,59.9,"1.198,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Polonez Dana Macar Salam 50 gr,Polonez,"Dana, Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",carrefour,Ankara Çankaya Esat Cad,73.9,"1.478,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Maret Pratik Hindi Salam 60 gr,Maret,"Gıda, Et Şarküteri, Hindi Sal, Salam, Self Servıs, Işlenmiş Etler, Paket Salam, Hindi, Hindi Salamlar, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",migros,Ankara Kolej M Mıgros,48.9,"815,00 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Maret Pratik Hindi Salam 60 gr,Maret,"Gıda, Et Şarküteri, Hindi Sal, Salam, Self Servıs, Işlenmiş Etler, Paket Salam, Hindi, Hindi Salamlar, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",carrefour,Ankara Hoşdere Süper Süper,50.45,"840,83 ₺/kg",24.06.2025 10:19,0,ANKARA
Salam,Salam Piliç 1000 Gr,Markasız,"0104-salam, 01-etli Mamuller, 010403-salam Piliç",bim,Kızılsaray  Antalya,69.0,"69,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Lezita Piliç Salam 850 Gr,Lezita,"Salam, Et şarküteri, Paket Salam, Piliç, Salam Piliç, Et Ve Etli̇ Mamüller, Et Şarküteri Paket",a101,Ismetpaşa Caddesi Muratpaşa Antalya,76.5,"90,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Polonez Fıstıklı Salam 90 gr,Polonez,"Dana, Et Şarküteri, Gıda, Salam, Self Servıs, Paket Salam, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",migros,Mjet Kaleiçi Antalya,129.9,"1.443,33 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Salam Piliç 250 gr Keskinoğlu,Keskinoğlu,"Salam, Salam Piliç, Et Ve Etli̇ Mamüller",a101,Ismetpaşa Caddesi Muratpaşa Antalya,25.5,"102,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Polonez Macar Salam 90 gr,Polonez,"Dana, Et Şarküteri, Paket Salam, Et Şarküteri Paket",migros,Mjet Kaleiçi Antalya,129.9,"1.443,33 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Carrefour Hindi Salam 50 gr,Carrefour,"Gıda, Salam, Self Servıs, Paketli̇ Et Ürünleri̇",carrefour,Antalya Konyaaltı Caddesı Mını,15.95,"319,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Salam Piliç Dilimli 150 gr,Markasız,"0104-salam, 01-etli Mamuller, 010403-salam Piliç",bim,Kızılsaray  Antalya,27.5,"183,33 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Salam Piliç 900 Gr Tombik,Tombik,"0104-salam, 01-etli Mamuller, 010403-salam Piliç",bim,Kızılsaray  Antalya,79.5,"88,33 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Aytaç Hindi Salam 500 gr,Aytaç,"Gıda, Salam, 0104-salam, Self Servıs, 01-etli Mamuller, 010402-salam Hindi, Paketli̇ Et Ürünleri̇",bim,Kızılsaray  Antalya,75.0,"150,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Dana Macar Salam 2x50 Gr Namet,Markasız,"170123-salam Dana, 1701-etli̇ Mamuller, 17-grup Spot",bim,Kızılsaray  Antalya,39.5,"19,75 ₺/adet",24.06.2025 10:19,0,ANTALYA
Salam,Açık Büfe Hindi Salam 900 Gr,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170124-salam Hindi",bim,Kızılsaray  Antalya,99.0,"110,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Açık Büfe Hindi Salam 50 Gr,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170124-salam Hindi",bim,Kızılsaray  Antalya,9.75,"195,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Salam Hindi Füme 110 gr Namet,Namet,"Salam, Salam Hindi, Et Ve Etli̇ Mamüller",a101,Ismetpaşa Caddesi Muratpaşa Antalya,45.25,"411,36 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Salam Piliç Büfe 1000 gr Aspiliç,Aspiliç,"Salam, Salam Piliç, Et Ve Etli̇ Mamüller",a101,Ismetpaşa Caddesi Muratpaşa Antalya,69.0,"69,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Pınar Keyifle Hindi Salam 500 gr,Pınar,"Hindi Sal, Işlenmiş Etler, Et şarküteri, Paket Salam, Hindi, Hindi Salamlar, Et Şarküteri Paket",sok,Muratpaşa Yenikapı,75.0,"150,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Salam Piliç Büfe 850 gr Banvit,Banvit,"Salam, Salam Piliç, Et Ve Etli̇ Mamüller",a101,Ismetpaşa Caddesi Muratpaşa Antalya,76.5,"90,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Polonez Hindi Fıstıklı Salam 90 gr,Polonez,"Et Şarküteri, Gıda, Salam, Self Servıs, Paket Salam, Hindi, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",migros,Doğu Garajı Tic Merkezi Ant M,62.9,"698,89 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Dana Macar Salam 50 Gr Maret,Maret,"170123-salam Dana, Dana, 1701-etli̇ Mamuller, Et Şarküteri, Gıda, Salam, Self Servıs, 17-grup Spot, Paket Salam, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",bim,Kızılsaray  Antalya,19.5,"390,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Dana Macar Salam 50 Gr Maret,Maret,"170123-salam Dana, Dana, 1701-etli̇ Mamuller, Et Şarküteri, Gıda, Salam, Self Servıs, 17-grup Spot, Paket Salam, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",migros,Doğu Garajı Tic Merkezi Ant M,47.9,"958,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Polonez Dana Macar Salam 50 gr,Polonez,"Dana, Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",migros,Doğu Garajı Tic Merkezi Ant M,59.9,"1.198,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Polonez Dana Macar Salam 50 gr,Polonez,"Dana, Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",carrefour,Antalya Konyaaltı Caddesı Mını,73.9,"1.478,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Pınar Keyifle Hindi Salam 75 gr,Pınar,"Et şarküteri, Paket Salam, Hindi, Et Şarküteri Paket",sok,Antalya Subaşı,24.75,"330,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Salam Piliç Dilimli 60 gr Lezita,Lezita,"Salam, Et şarküteri, Paket Salam, Piliç, Salam Piliç, Et Ve Etli̇ Mamüller, Et Şarküteri Paket",sok,Antalya Subaşı,15.5,"258,33 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Pınar Aç Bitir Salam 75 gr,Pınar,"Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Hindi, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",migros,Mjet Kaleiçi Antalya,35.25,"470,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Pınar Aç Bitir Salam 75 gr,Pınar,"Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Hindi, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",carrefour,Antalya Konyaaltı Caddesı Mını,35.25,"470,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Maret Enfes Macar Salam 250 gr,Maret,"Dana, Et şarküteri, Paket Salam, Et Şarküteri Paket",sok,Muratpaşa Yenikapı,109.0,"436,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Pınar Kahvaltılık Macar Salam 250 g,Pınar,"Dana, Et Şarküteri, Paket Salam, Et Şarküteri Paket",migros,Doğu Garajı Tic Merkezi Ant M,265.0,"1.060,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Sultan Dilimli Piliç Salam 50 gr,Sultan,"Gıda, Salam, Self Servıs, Paketli̇ Et Ürünleri̇",carrefour,Antalya Narencıye Süper,22.75,"455,00 ₺/kg",24.06.2025 10:19,0,ANTALYA
Salam,Pınar Fıstıklı Salam kg,Pınar,"Dana, Et Şarküteri, Servi̇s Salam, Et Şarküteri Servis",migros,5m Aydın Kipa Avm,999.0,"999,00 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Salam Piliç 1000 Gr,Markasız,"0104-salam, 01-etli Mamuller, 010403-salam Piliç",bim,Güzelhisar  Aydın,69.0,"69,00 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Aytaç Macar Salam 60 Gr,Aytaç,"Dana, Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Et şarküteri, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",migros,5m Aydın Kipa Avm,56.9,"948,33 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Polonez Fıstıklı Salam 90 gr,Polonez,"Dana, Et Şarküteri, Gıda, Salam, Self Servıs, Paket Salam, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",migros,Istiklal Aydın M Migros,129.9,"1.443,33 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Keskinoğlu Piliç Salam 700 gr,Keskinoğlu,"Et Şarküteri, Paket Salam, Piliç, Et Şarküteri Paket",migros,5m Aydın Kipa Avm,94.95,"135,64 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Lezita Piliç Salam 250 gr,Lezita,"Et Şarküteri, Salam, Paket Salam, Piliç, Salam Piliç, Et Ve Etli̇ Mamüller, Et Şarküteri Paket",a101,Güzelhisar Merkez Aydın,25.5,"102,00 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Polonez Macar Salam 90 gr,Polonez,"Dana, Et Şarküteri, Paket Salam, Et Şarküteri Paket",migros,Mjet Cumhuriyet Efeler Aydın,129.9,"1.443,33 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Polonez Hindi Salam 90 gr,Polonez,"Et Şarküteri, Paket Salam, Hindi, Et Şarküteri Paket",migros,5m Aydın Kipa Avm,62.9,"698,89 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Carrefour Hindi Salam 50 gr,Carrefour,"Gıda, Salam, Self Servıs, Paketli̇ Et Ürünleri̇",carrefour,Aydın Mımar Sınan Süper,15.95,"319,00 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Salam Piliç Dilimli 150 gr,Markasız,"0104-salam, 01-etli Mamuller, 010403-salam Piliç",bim,Güzelhisar  Aydın,27.5,"183,33 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Salam Piliç 900 Gr Tombik,Tombik,"0104-salam, 01-etli Mamuller, 010403-salam Piliç",bim,Güzelhisar  Aydın,79.5,"88,33 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Aytaç Hindi Salam 500 gr,Aytaç,"Gıda, Salam, 0104-salam, Self Servıs, 01-etli Mamuller, 010402-salam Hindi, Paketli̇ Et Ürünleri̇",bim,Güzelhisar  Aydın,75.0,"150,00 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Dana Macar Salam 2x50 Gr Namet,Markasız,"170123-salam Dana, 1701-etli̇ Mamuller, 17-grup Spot",bim,Güzelhisar  Aydın,39.5,"19,75 ₺/adet",24.06.2025 10:19,0,AYDIN
Salam,Açık Büfe Hindi Salam 900 Gr,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170124-salam Hindi",bim,Güzelhisar  Aydın,99.0,"110,00 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Açık Büfe Hindi Salam 50 Gr,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170124-salam Hindi",bim,Güzelhisar  Aydın,9.75,"195,00 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Salam Hindi Füme 110 gr Namet,Namet,"Salam, Salam Hindi, Et Ve Etli̇ Mamüller",a101,Güzelhisar Merkez Aydın,45.25,"411,36 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Salam Piliç Büfe 1000 gr Aspiliç,Aspiliç,"Salam, Salam Piliç, Et Ve Etli̇ Mamüller",a101,Güzelhisar Merkez Aydın,69.0,"69,00 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Polonez Hindi Fıstıklı Salam 90 gr,Polonez,"Et Şarküteri, Gıda, Salam, Self Servıs, Paket Salam, Hindi, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",migros,Istiklal Aydın M Migros,62.9,"698,89 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Dana Macar Salam 50 Gr Maret,Maret,"170123-salam Dana, Dana, 1701-etli̇ Mamuller, Et Şarküteri, Gıda, Salam, Self Servıs, 17-grup Spot, Paket Salam, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",bim,Güzelhisar  Aydın,19.5,"390,00 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Dana Macar Salam 50 Gr Maret,Maret,"170123-salam Dana, Dana, 1701-etli̇ Mamuller, Et Şarküteri, Gıda, Salam, Self Servıs, 17-grup Spot, Paket Salam, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",migros,Istiklal Aydın M Migros,47.9,"958,00 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Polonez Dana Macar Salam 50 gr,Polonez,"Dana, Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",migros,Istiklal Aydın M Migros,59.9,"1.198,00 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Polonez Dana Macar Salam 50 gr,Polonez,"Dana, Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",carrefour,Aydın Mımar Sınan Süper,73.9,"1.478,00 ₺/kg",24.06.2025 10:19,0,AYDIN
Salam,Salam Piliç Büfe 850 gr Doyfarm,Doyfarm,"Salam, Salam Piliç, Et Ve Etli̇ Mamüller",a101,Güzelhisar Merkez Aydın,76.5,"90,00 ₺/kg",24.06.2025 10:19,0,AYDIN
